ID,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
45774515,-,MERCEDES-BENZ,E 240,1999,Sedan,No,CNG,2.4,211000 km,6,Tiptronic,Rear,04-May,Left wheel,Silver,4,
45804934,696,MERCEDES-BENZ,E 220,2013,Sedan,Yes,Diesel,2.2 Turbo,186000 km,4,Tiptronic,Rear,04-May,Left wheel,Black,12,
45761041,531,NISSAN,Juke,2012,Jeep,Yes,Petrol,1.6,173576 km,4,Automatic,4x4,04-May,Left wheel,Red,0,
45732748,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,169594 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45636177,530,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,312118 km,4,Automatic,Front,04-May,Left wheel,Black,0,
45776797,-,MERCEDES-BENZ,GLA 250 4Matic,2015,Jeep,Yes,Petrol,2.0 Turbo,65000 km,6,Tiptronic,4x4,04-May,Left wheel,Black,12,
45455723,777,TOYOTA,Camry,2014,Sedan,Yes,Petrol,2.5,112000 km,4,Tiptronic,Front,04-May,Left wheel,Blue,8,
45813677,586,TOYOTA,Prius,2012,Hatchback,Yes,Hybrid,1.8,240146 km,4,Automatic,Front,04-May,Left wheel,Silver,0,
45773858,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,149486 km,6,Automatic,4x4,04-May,Left wheel,Silver,12,
45772519,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,149486 km,6,Automatic,4x4,04-May,Left wheel,Silver,12,
45766845,-,FORD,Mustang,2015,Coupe,Yes,Petrol,2.3 Turbo,113600 km,4,Tiptronic,Rear,02-Mar,Left wheel,Silver,6,
45764710,1190,TOYOTA,Tacoma,2014,Sedan,Yes,Petrol,4,0 km,6,Automatic,Rear,04-May,Left wheel,Silver,12,
45813678,781,TOYOTA,Camry XLE HYBRID,2012,Sedan,Yes,Hybrid,2.5,149000 km,4,Automatic,Front,04-May,Left wheel,Golden,12,
45732968,707,HYUNDAI,Sonata,2011,Sedan,Yes,LPG,2,61208 km,4,Automatic,Front,04-May,Left wheel,White,4,
45793608,-,MERCEDES-BENZ,C 220,2001,Sedan,Yes,Diesel,2.2 Turbo,0 km,4,Tiptronic,Rear,04-May,Left wheel,Silver,8,
45662220,490,HONDA,Insight,2011,Hatchback,Yes,Hybrid,1.3,288704 km,4,Automatic,Front,04-May,Left wheel,White,0,
45803451,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,42145 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45648491,919,BMW,X5,2012,Jeep,Yes,Diesel,3,229966 km,6,Automatic,4x4,04-May,Left wheel,Black,0,
43559789,1266,TOYOTA,Aqua,2014,Hatchback,No,Hybrid,1.5,141000 km,4,Variator,Front,04-May,Right-hand drive,Silver,0,
45774068,1850,MERCEDES-BENZ,E 350,2008,Sedan,Yes,Diesel,3.5,122874 km,6,Automatic,Rear,04-May,Left wheel,Black,12,
45802983,765,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2,123000 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45815747,-,TOYOTA,Ist,2004,Sedan,No,Petrol,1.3,138000 km,4,Automatic,Front,04-May,Right-hand drive,Silver,2,
45717246,-,MITSUBISHI,Pajero,1997,Jeep,No,Petrol,3,319500 km,6,Automatic,4x4,02-Mar,Left wheel,Blue,1,
45776674,-,HYUNDAI,Elantra,2013,Sedan,No,Petrol,1.8,95000 km,4,Automatic,Front,04-May,Left wheel,Grey,6,
45804823,836,HYUNDAI,Tucson,2010,Jeep,Yes,Diesel,2,90356 km,4,Automatic,Front,04-May,Left wheel,White,4,
45730580,730,SSANGYONG,Actyon,2016,Jeep,Yes,Diesel,1.6,105939 km,4,Automatic,Front,04-May,Left wheel,Grey,4,
45765452,503,HONDA,FIT,2012,Sedan,Yes,Petrol,1.5,167158 km,4,Automatic,Front,04-May,Left wheel,Grey,0,
45813031,697,HYUNDAI,Elantra,2015,Sedan,Yes,Petrol,1.8,149286 km,4,Automatic,Front,04-May,Left wheel,Silver,12,
45617473,474,FIAT,500,2013,Coupe,Yes,Petrol,1.4 Turbo,70000 km,4,Manual,Front,02-Mar,Left wheel,Black,12,
45807127,1714,MERCEDES-BENZ,GLE 350,2017,Jeep,Yes,Petrol,3.5,32843 km,6,Automatic,Rear,04-May,Left wheel,White,12,
45814020,-,FORD,Fiesta,2011,Hatchback,No,Petrol,1.6,148800 km,4,Automatic,Front,04-May,Left wheel,Black,6,
45758906,751,KIA,Optima,2013,Sedan,No,Hybrid,2.4,150000 km,6,Tiptronic,Front,04-May,Left wheel,Black,5,
45733712,765,HYUNDAI,Sonata,2015,Sedan,Yes,Petrol,2,82024 km,4,Automatic,Front,04-May,Left wheel,Black,4,
45762239,382,CHEVROLET,Volt,2017,Hatchback,Yes,Hybrid,1.5,52062 km,4,Automatic,Front,04-May,Left wheel,Blue,0,
45809330,502,TOYOTA,Aqua,2013,Universal,Yes,Hybrid,1.5,17071 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45341507,-,TOYOTA,Prius,2012,Sedan,No,Plug-in Hybrid,1.8,137000 km,4,Automatic,Front,04-May,Left wheel,White,8,
45773460,781,TOYOTA,Camry,2012,Jeep,Yes,Hybrid,2.5,268683 km,4,Automatic,Front,04-May,Left wheel,Blue,12,
45767063,586,NISSAN,Versa,2012,Hatchback,Yes,Petrol,1.8,182443 km,4,Automatic,Front,04-May,Left wheel,Black,12,
45789955,769,KIA,Sorento,2011,Jeep,Yes,Diesel,2.2,63936 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45809794,502,TOYOTA,Aqua,2013,Hatchback,Yes,Petrol,1.5,115000 km,4,Automatic,Front,04-May,Left wheel,Black,4,
45726608,640,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,125000 km,4,Automatic,Front,04-May,Left wheel,White,4,
45504275,761,TOYOTA,Prius,2010,Sedan,No,Hybrid,1.8,195000 km,4,Variator,Front,04-May,Left wheel,White,6,
45782339,761,TOYOTA,Prius,2010,Sedan,No,Hybrid,1.8,228800 km,4,Automatic,Front,04-May,Left wheel,Silver,6,
45809859,1017,HONDA,Civic,2017,Sedan,Yes,Petrol,2,33490 km,4,Automatic,Front,04-May,Left wheel,Grey,4,
45644467,640,FORD,Fusion,2013,Sedan,Yes,Hybrid,2,174619 km,4,Automatic,Front,04-May,Left wheel,Grey,0,
45525213,1077,TOYOTA,CHR,2019,Jeep,Yes,Petrol,2,18950 km,4,Automatic,Front,04-May,Left wheel,Black,12,
45802040,836,HYUNDAI,Genesis,2010,Coupe,Yes,Petrol,2,170340 km,4,Automatic,Front,04-May,Left wheel,Black,4,
45803297,707,HYUNDAI,Sonata,2011,Sedan,Yes,Petrol,2,183861 km,4,Automatic,Front,04-May,Left wheel,Grey,4,
45780305,-,BMW,X6,2012,Jeep,Yes,Petrol,3.0 Turbo,95000 km,6,Automatic,4x4,04-May,Left wheel,White,12,
45651854,1750,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.3,224629 km,6,Automatic,4x4,04-May,Left wheel,Silver,12,
45730823,831,SSANGYONG,Actyon,2017,Jeep,Yes,Diesel,1.6,19678 km,4,Automatic,Front,04-May,Left wheel,Grey,4,
45802299,1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,96117 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45812981,490,HONDA,Insight,2011,Hatchback,Yes,Hybrid,1.3,216858 km,4,Automatic,Front,04-May,Left wheel,Grey,12,
45802016,765,HYUNDAI,Genesis,2015,Coupe,Yes,Petrol,2,61298 km,4,Automatic,Front,04-May,Left wheel,Grey,4,
45760400,-,TOYOTA,CHR,2018,Jeep,Yes,Petrol,2,9000 km,4,Tiptronic,Front,04-May,Left wheel,Grey,10,
45803275,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,404507 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45730893,730,SSANGYONG,Actyon,2016,Jeep,Yes,Diesel,1.6,76646 km,4,Automatic,Front,04-May,Left wheel,White,4,
45792068,-,MERCEDES-BENZ,Sprinter,1998,Microbus,No,Diesel,2.9 Turbo,0 km,5,Manual,Rear,04-May,Left wheel,White,1,
45730639,730,HYUNDAI,Elantra,2016,Sedan,Yes,Diesel,1.6,104621 km,4,Automatic,Front,04-May,Left wheel,Grey,4,
45733286,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,533733 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45660762,1058,LEXUS,RX 450,2012,Jeep,Yes,Hybrid,3.5,232357 km,6,Automatic,4x4,04-May,Left wheel,Black,12,
45484673,650,VOLKSWAGEN,Jetta,2016,Sedan,No,Petrol,1.4 Turbo,62000 km,4,Tiptronic,Front,04-May,Left wheel,Black,8,
45793325,-,OPEL,Vectra,1999,Hatchback,No,CNG,1.8,30000 km,4,Manual,Front,04-May,Left wheel,Silver,4,
45497144,730,FORD,Fiesta,2016,Jeep,No,Petrol,1.6,14000 km,4,Manual,Front,04-May,Left wheel,White,6,
45767355,259,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,131893 km,4,Automatic,Front,04-May,Left wheel,Brown,0,
30741514,-,MERCEDES-BENZ,Sprinter ქირავდება,2012,Microbus,Yes,Diesel,3.2 Turbo,1000 km,6,Automatic,Rear,04-May,Left wheel,White,5,
45772077,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,35874 km,4,Automatic,4x4,04-May,Left wheel,Black,12,
45787527,-,SUBARU,Impreza,2012,Hatchback,Yes,Petrol,2,15500 km,4,Tiptronic,4x4,04-May,Left wheel,Black,8,
45770237,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,1600 km,4,Automatic,Rear,04-May,Left wheel,Black,12,
45773885,-,BMW,325,1987,Sedan,Yes,Petrol,2.5,0 km,6,Automatic,Rear,02-Mar,Left wheel,Brown,4,
45719962,1292,LAND ROVER,Land Rover Sport,2016,Jeep,Yes,Petrol,3,63000 km,6,Tiptronic,4x4,04-May,Left wheel,Black,8,
45757280,1935,LEXUS,GX 460,2016,Jeep,Yes,Petrol,4.6,155976 km,8,Automatic,4x4,04-May,Left wheel,White,0,
45480293,-,BMW,X5,2005,Jeep,Yes,Petrol,4.8,222222 km,8,Tiptronic,4x4,04-May,Left wheel,Black,12,
45315206,-,FORD,F150,2018,Pickup,No,Petrol,3.3,7000 km,6,Automatic,4x4,04-May,Left wheel,Grey,6,
45806821,1172,LEXUS,RX 350,2011,Jeep,Yes,Petrol,3.5,212152 km,6,Automatic,Front,04-May,Left wheel,Black,12,
45732790,836,HYUNDAI,Sonata,2010,Sedan,Yes,Petrol,2,178114 km,4,Automatic,Front,04-May,Left wheel,Grey,4,
45814249,-,NISSAN,Gloria,2003,Sedan,Yes,Petrol,3,120000 km,6,Automatic,Rear,04-May,Right-hand drive,White,4,
45814282,1675,FORD,Transit,2004,Microbus,No,Diesel,2.0 Turbo,1000 km,4,Manual,Front,02-Mar,Left wheel,White,2,
45792396,1083,JEEP,Grand Cherokee,2013,Jeep,Yes,Petrol,3.6,250843 km,6,Automatic,Front,04-May,Left wheel,Black,12,
45730551,730,SSANGYONG,Actyon,2016,Jeep,Yes,Diesel,1.6,37925 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45816437,781,SUBARU,Outback,2012,Jeep,Yes,Petrol,2.5,150000 km,4,Automatic,4x4,04-May,Left wheel,Black,10,
45473455,521,CHEVROLET,Cruze,2011,Sedan,Yes,Petrol,1.4 Turbo,116000 km,4,Automatic,Front,04-May,Left wheel,Golden,0,
45809567,584,HONDA,Civic,2014,Sedan,Yes,Petrol,1.8,45191 km,4,Automatic,Front,04-May,Left wheel,White,4,
45789850,1094,SSANGYONG,Actyon,2008,Jeep,Yes,Diesel,2,78944 km,4,Automatic,Front,04-May,Left wheel,Black,4,
45185743,-,MERCEDES-BENZ,Sprinter,2001,Microbus,Yes,Diesel,2.2 Turbo,250000 km,4,Manual,Rear,04-May,Left wheel,White,4,
45377219,-,BMW,X5,2011,Jeep,Yes,Diesel,3.0 Turbo,260000 km,8,Tiptronic,4x4,04-May,Left wheel,Black,4,
45803643,642,HYUNDAI,Tucson,2012,Jeep,Yes,Diesel,2,40578 km,4,Automatic,Front,04-May,Left wheel,Red,4,
45789100,-,VOLKSWAGEN,Golf 4,2003,Sedan,No,CNG,2,175000 km,4,Automatic,Front,04-May,Right-hand drive,Silver,4,
45797132,836,HYUNDAI,Genesis,2010,Coupe,Yes,Petrol,2,93238 km,4,Automatic,Front,04-May,Left wheel,White,4,
44874355,397,TOYOTA,Prius,2016,Hatchback,No,Hybrid,1.8,108000 km,4,Automatic,Front,04-May,Left wheel,Silver,12,
45804308,836,HYUNDAI,Tucson,2010,Jeep,Yes,Diesel,2,159163 km,4,Automatic,Front,04-May,Left wheel,Grey,4,
45681554,831,TOYOTA,Camry,2011,Sedan,No,Hybrid,2.4,160000 km,4,Automatic,Front,04-May,Left wheel,White,5,
45759667,777,SUBARU,Forester,2014,Jeep,Yes,Petrol,2.5,234781 km,4,Automatic,4x4,04-May,Left wheel,Black,0,
45801493,-,OPEL,Astra,1992,Hatchback,No,CNG,1.6,10000 km,4,Manual,Front,04-May,Left wheel,Carnelian red,0,
45651955,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,315270 km,6,Automatic,4x4,04-May,Left wheel,Grey,12,
45764650,1342,TOYOTA,Tacoma,2017,Jeep,Yes,Petrol,2.7,94262 km,4,Automatic,Rear,04-May,Left wheel,White,12,
45020204,-,VOLKSWAGEN,Passat,2014,Sedan,Yes,Petrol,1.8 Turbo,171390 km,4,Tiptronic,Front,04-May,Left wheel,Black,6,
44513334,-,CHEVROLET,Volt,2012,Sedan,Yes,Plug-in Hybrid,1.4,123000 km,6,Tiptronic,Front,04-May,Left wheel,White,10,
45792905,583,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.8,67435 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
42910911,640,FORD,Fusion SE HYBRID,2013,Sedan,Yes,Hybrid,2,147019 km,4,Automatic,Front,04-May,Left wheel,Blue,8,
45640871,1211,BMW,X5,2010,Jeep,Yes,Diesel,3,265210 km,6,Automatic,4x4,04-May,Left wheel,Black,0,
45797034,639,FORD,Focus,2014,Sedan,No,Petrol,2,75000 km,4,Tiptronic,Front,04-May,Left wheel,White,12,
45793338,551,CHEVROLET,Spark,2017,Sedan,Yes,Petrol,1,26364 km,4,Automatic,Front,04-May,Left wheel,White,4,
45802312,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,50262 km,4,Automatic,Front,04-May,Left wheel,White,4,
45790421,-,BMW,328,2013,Sedan,Yes,Petrol,2.0 Turbo,79700 km,4,Tiptronic,Rear,04-May,Left wheel,Black,12,
45694692,-,NISSAN,Micra,1993,Sedan,No,Petrol,1,168000 km,4,Manual,Front,04-May,Left wheel,Sky blue,2,
41376460,-,LEXUS,ES 300,2017,Sedan,Yes,Hybrid,3,65920 km,4,Tiptronic,Front,04-May,Left wheel,White,12,
45626429,-,MERCEDES-BENZ,Sprinter,2007,Microbus,No,Diesel,2.9 Turbo,0 km,5,Manual,Rear,02-Mar,Left wheel,Grey,2,
45619289,1624,MERCEDES-BENZ,E 350,2009,Sedan,Yes,Diesel,3.5,138384 km,6,Automatic,4x4,04-May,Left wheel,Black,12,
45815081,1024,TOYOTA,Camry,2010,Sedan,Yes,Petrol,2.5,74160 km,4,Automatic,Front,04-May,Left wheel,Blue,12,
45654157,1058,MERCEDES-BENZ,ML 350,2012,Jeep,Yes,Diesel,3.5,224118 km,6,Automatic,4x4,04-May,Left wheel,White,12,
45729643,730,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.6,94401 km,4,Automatic,Front,04-May,Left wheel,White,4,
45757210,779,TOYOTA,Camry,2013,Sedan,No,Petrol,2.5,136448 km,4,Automatic,Front,04-May,Left wheel,Grey,0,
45759341,915,AUDI,A7,2014,Hatchback,Yes,Petrol,3,140507 km,6,Automatic,4x4,04-May,Left wheel,Silver,0,
45282184,501,FORD,Fusion,2014,Sedan,No,Petrol,1.5 Turbo,100000 km,4,Tiptronic,Front,04-May,Left wheel,Black,10,
45057389,503,TOYOTA,Prius C,2012,Sedan,No,Hybrid,1.5,106192 km,4,Tiptronic,Front,04-May,Left wheel,Black,12,
45806653,1058,TOYOTA,RAV 4,2012,Jeep,Yes,Petrol,3.5,170645 km,6,Automatic,Front,04-May,Left wheel,Red,12,
45745438,649,TOYOTA,Prius,2010,Hatchback,No,Hybrid,1.5,165000 km,4,Variator,Front,04-May,Left wheel,White,8,
45769542,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,50930 km,4,Automatic,Rear,04-May,Left wheel,Black,12,
45766608,1325,TOYOTA,Camry,2019,Sedan,Yes,Petrol,2.5,39198 km,4,Automatic,Front,04-May,Left wheel,Silver,12,
43784331,1995,FORD,Transit,2003,Microbus,No,Diesel,2.4 Turbo,222000 km,4,Manual,Rear,04-May,Left wheel,White,2,
45808496,1024,SUBARU,Outback,2010,Jeep,Yes,Petrol,2.5,116658 km,4,Automatic,4x4,04-May,Left wheel,Black,12,
43277010,1363,MERCEDES-BENZ,GL 450,2012,Jeep,Yes,Petrol,4.6,69000 km,8,Tiptronic,4x4,04-May,Left wheel,Black,12,
45539335,-,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.0 Turbo,107000 km,4,Tiptronic,Front,04-May,Left wheel,Silver,8,
45776914,781,VOLKSWAGEN,Passat,2012,Sedan,Yes,Petrol,2.5,150000 km,5,Tiptronic,Front,04-May,Left wheel,Blue,8,
45805789,781,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,55371 km,4,Tiptronic,Front,04-May,Left wheel,Black,10,
45815227,878,TOYOTA,Corolla,2009,Sedan,Yes,Petrol,1.8,223034 km,4,Automatic,Front,04-May,Left wheel,Silver,12,
45785522,-,AUDI,A3,2003,Coupe,No,Petrol,2,180000 km,4,Tiptronic,Front,02-Mar,Right-hand drive,Black,11,
45793217,966,CHEVROLET,Cruze,2009,Sedan,Yes,Diesel,2,50203 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45809029,891,CHEVROLET,Captiva,2016,Jeep,Yes,Diesel,2,31592 km,4,Automatic,Front,04-May,Left wheel,Grey,4,
45759522,562,CHEVROLET,Trax,2015,Jeep,No,Petrol,1.4 Turbo,90000 km,4,Automatic,4x4,04-May,Left wheel,White,6,
43137315,1408,FORD,Transit,2007,Microbus,No,Diesel,2.2,157400 km,4,Manual,Front,04-May,Left wheel,Blue,2,
45804033,-,SUBARU,Forester,2000,Universal,Yes,Petrol,2.0 Turbo,10000 km,4,Automatic,4x4,04-May,Right-hand drive,Silver,2,
45790373,-,MERCEDES-BENZ,C 250,2012,Coupe,Yes,Petrol,1.8 Turbo,163200 km,4,Tiptronic,Rear,02-Mar,Left wheel,Red,8,
44284559,-,MITSUBISHI,Outlander sport,2012,Jeep,No,Petrol,2,90000 km,4,Automatic,4x4,04-May,Left wheel,Blue,0,
45765609,1342,TOYOTA,Tacoma,2017,Jeep,Yes,Petrol,2.7,94262 km,4,Automatic,Rear,04-May,Left wheel,White,12,
45646447,607,TOYOTA,Camry,2019,Sedan,Yes,Hybrid,2.5,9626 km,4,Automatic,Front,04-May,Left wheel,Black,12,
45786801,638,DAIHATSU,Mira,2012,Hatchback,No,Petrol,0.7,101000 km,3,Variator,Front,04-May,Right-hand drive,White,2,
44588466,-,MERCEDES-BENZ,Viano CD 3.0,2008,Minivan,Yes,Diesel,3.0 Turbo,222000 km,6,Tiptronic,Rear,04-May,Left wheel,Blue,0,
45408542,586,TOYOTA,Prius,2012,Sedan,Yes,Hybrid,1.8,150000 km,4,Variator,Front,04-May,Left wheel,Grey,12,
45732081,1076,HYUNDAI,Santa FE,2020,Jeep,Yes,Diesel,2,43865 km,4,Automatic,Front,04-May,Left wheel,Grey,4,
45769377,1058,TOYOTA,Highlander,2012,Sedan,Yes,Petrol,3.5,285186 km,6,Automatic,Front,04-May,Left wheel,Grey,12,
45773630,934,TOYOTA,RAV 4,2015,Jeep,Yes,Petrol,2.5,64000 km,6,Automatic,4x4,04-May,Left wheel,Blue,0,
45765218,475,FIAT,500,2012,Sedan,Yes,Petrol,1.4,121142 km,4,Automatic,Front,04-May,Left wheel,White,12,
45803511,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,357150 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45765196,382,CHEVROLET,Volt,2017,Hatchback,Yes,Hybrid,1.5,81440 km,4,Automatic,Front,04-May,Left wheel,Black,0,
45652011,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,361603 km,6,Automatic,Front,04-May,Left wheel,Black,12,
45794146,-,MERCEDES-BENZ,Sprinter,2000,Microbus,No,Diesel,2.2 Turbo,0 km,4,Manual,Rear,02-Mar,Left wheel,Carnelian red,2,
45709083,-,MERCEDES-BENZ,Sprinter,2012,Microbus,Yes,Diesel,2.2,157000 km,4,Manual,Rear,04-May,Left wheel,White,4,
45753074,650,VOLKSWAGEN,Jetta,2016,Sedan,No,Petrol,1.4 Turbo,17800 km,4,Automatic,Front,04-May,Left wheel,Blue,5,
45813699,1292,LAND ROVER,Range Rover,2016,Jeep,Yes,Diesel,3,66125 km,6,Automatic,4x4,04-May,Left wheel,Grey,12,
45801530,583,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,128980 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45815232,978,TOYOTA,Corolla,2019,Sedan,Yes,Petrol,1.8,54307 km,4,Automatic,Front,04-May,Left wheel,Black,12,
45794571,-,CHEVROLET,Camaro,2013,Cabriolet,No,Petrol,3.6,47000 km,6,Tiptronic,Rear,02-Mar,Left wheel,White,4,
45618963,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,238546 km,6,Automatic,4x4,04-May,Left wheel,Black,12,
45802136,1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,188000 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45816572,585,HYUNDAI,Elantra,2013,Sedan,Yes,Petrol,1.8,173723 km,4,Automatic,Front,04-May,Left wheel,White,12,
45773015,2297,MERCEDES-BENZ,GLE 63 AMG,2016,Jeep,Yes,Petrol,5.5,17584 km,8,Automatic,4x4,04-May,Left wheel,Black,0,
45806852,-,HONDA,Edix,2005,Minivan,No,LPG,2,197000 km,4,Automatic,Front,04-May,Right-hand drive,White,4,
45812876,-,FORD,Transit Connect,2006,Goods wagon,No,Diesel,1.8 Turbo,251007 km,4,Manual,Front,02-Mar,Left wheel,Blue,4,
45794677,640,FORD,Focus,2013,Sedan,Yes,Petrol,2,128000 km,4,Tiptronic,Front,04-May,Left wheel,Silver,8,
45802180,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,147286 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45773496,259,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,138491 km,4,Automatic,Front,04-May,Left wheel,Black,0,
45438868,891,LEXUS,NX 200 200t,2016,Jeep,Yes,Petrol,2.0 Turbo,61000 km,4,Automatic,Front,04-May,Left wheel,Grey,12,
45815365,-,MAZDA,Demio evropuli,2003,Hatchback,No,CNG,1.4,185000 km,4,Manual,Front,04-May,Left wheel,Blue,4,
45793065,-,OPEL,Astra,2004,Hatchback,No,Diesel,1.7 Turbo,155177 km,4,Manual,Front,04-May,Left wheel,Silver,6,
45813885,1360,LEXUS,LS 460,2013,Sedan,Yes,Petrol,4.6,154258 km,8,Automatic,4x4,04-May,Left wheel,White,12,
45815494,-,BMW,335,2009,Sedan,Yes,Petrol,3.0 Turbo,180000 km,6,Manual,Rear,04-May,Left wheel,Black,8,
45788722,-,NISSAN,Serena,2005,Minivan,No,CNG,2,400000 km,4,Variator,Front,04-May,Right-hand drive,White,0,
39106776,-,MERCEDES-BENZ,Viano,2007,Minivan,No,Diesel,2.2 Turbo,150000 km,4,Automatic,Rear,04-May,Left wheel,Silver,2,
45791834,521,CHEVROLET,Cruze,2011,Sedan,Yes,Petrol,1.4 Turbo,153900 km,4,Tiptronic,Front,04-May,Left wheel,Silver,16,
45636016,586,TOYOTA,Prius ჯბლ და ჰედაპი,2012,Hatchback,Yes,Petrol,1.8,176000 km,4,Automatic,Front,04-May,Left wheel,Carnelian red,12,
45771154,1051,HYUNDAI,Sonata,2016,Sedan,Yes,Petrol,2.4,135546 km,4,Automatic,Front,04-May,Left wheel,Blue,12,
45816503,-,FORD,Transit Dublkabina,2002,Universal,Yes,Diesel,2.0 Turbo,237000 km,4,Manual,Front,04-May,Left wheel,Black,8,
45776910,-,BMW,645,2004,Coupe,Yes,Petrol,4.4,144000 km,8,Tiptronic,Rear,02-Mar,Left wheel,Grey,8,
45744966,-,MERCEDES-BENZ,C 250,2012,Sedan,Yes,Petrol,1.8 Turbo,62000 km,4,Tiptronic,Rear,04-May,Left wheel,White,12,
